Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-430.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-374.0,-500.0,-500.0,-500.0,-500.0,-500.0
-341.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-500.0,-449.0,-500.0,-500.0,-500.0,-500.0,-500.0,-386.0,-391.0
-500.0,-500.0,-460.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-278.0
-500.0,-500.0,-500.0,-500.0,-373.0,-484.0,-500.0,-395.0,-500.0,-500.0
-500.0,-500.0,-291.0,-500.0,-500.0,-500.0,-500.0,-500.0,-357.0,-500.0
-465.0,-500.0,-248.0,-500.0,-500.0,-376.0,-500.0,-342.0,-500.0,-500.0
-229.0,-500.0,-500.0,-500.0,-318.0,-500.0,-500.0,-500.0,-500.0,-402.0
-500.0,-305.0,-500.0,-500.0,-500.0,-295.0,-390.0,-414.0,-500.0,-500.0
-500.0,-500.0,-456.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-493.0,-499.0,-317.0,-423.0,-358.0,-480.0,-339.0,-334.0,-479.0,-500.0
-500.0,-324.0,-500.0,-190.0,-226.0,-500.0,-451.0,-332.0,-194.0,-311.0
-485.0,-275.0,-429.0,-239.0,-465.0,-407.0,-500.0,-383.0,-265.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-408.0,-500.0,-500.0,-333.0
-378.0,-333.0,-356.0,-500.0,-224.0,-206.0,-500.0,-500.0,-404.0,-500.0
-181.0,-247.0,-500.0,-400.0,-298.0,-500.0,-500.0,-356.0,-266.0,-500.0
-371.0,-191.0,-187.0,-193.0,-165.0,-324.0,-190.0,-322.0,-282.0,-500.0
-205.0,-500.0,-265.0,-500.0,-104.0,-439.0,-500.0,-500.0,-110.0,-500.0
-500.0,-236.0,-242.0,-229.0,-304.0,-227.0,-500.0,-371.0,-223.0,-500.0
-475.0,-188.0,-500.0,-500.0,-500.0,-500.0,-500.0,-295.0,-215.0,-400.0
-236.0,-220.0,-278.0,-293.0,-320.0,-165.0,-459.0,-415.0,-165.0,-284.0
-204.0,-133.0,-500.0,-500.0,-500.0,-126.0,-222.0,-500.0,-500.0,-215.0
-215.0,-190.0,-210.0,-154.0,-173.0,-197.0,-485.0,-313.0,-148.0,-372.0
-500.0,-482.0,-500.0,-244.0,-359.0,-500.0,-99.0,-309.0,-500.0,-169.0
-315.0,-376.0,-224.0,-173.0,-122.0,-244.0,-232.0,-199.0,-254.0,-264.0
-197.0,-500.0,-500.0,-105.0,-500.0,-393.0,-166.0,-500.0,-254.0,-500.0
-179.0,-261.0,-153.0,-296.0,-180.0,-253.0,-260.0,-297.0,-335.0,-477.0
-500.0,-299.0,-442.0,-328.0,-174.0,-202.0,-500.0,-500.0,-128.0,-500.0
-168.0,-229.0,-179.0,-255.0,-191.0,-136.0,-222.0,-289.0,-187.0,-499.0
-245.0,-418.0,-305.0,-185.0,-500.0,-500.0,-500.0,-341.0,-500.0,-295.0
-146.0,-169.0,-295.0,-160.0,-142.0,-369.0,-210.0,-183.0,-217.0,-246.0
-500.0,-92.0,-500.0,-500.0,-500.0,-424.0,-500.0,-500.0,-115.0,-500.0
-163.0,-140.0,-133.0,-403.0,-201.0,-136.0,-195.0,-163.0,-162.0,-235.0
-500.0,-130.0,-500.0,-327.0,-500.0,-500.0,-259.0,-328.0,-500.0,-500.0
-166.0,-231.0,-232.0,-151.0,-195.0,-252.0,-157.0,-110.0,-195.0,-194.0
-500.0,-500.0,-500.0,-108.0,-500.0,-106.0,-207.0,-479.0,-500.0,-295.0
-228.0,-132.0,-190.0,-91.0,-174.0,-128.0,-169.0,-126.0,-192.0,-262.0
-216.0,-214.0,-216.0,-112.0,-168.0,-165.0,-288.0,-141.0,-500.0,-500.0
-217.0,-207.0,-288.0,-130.0,-211.0,-155.0,-167.0,-202.0,-194.0,-214.0
-144.0,-129.0,-420.0,-104.0,-107.0,-500.0,-102.0,-497.0,-500.0,-500.0
-188.0,-167.0,-259.0,-158.0,-279.0,-155.0,-134.0,-202.0,-191.0,-179.0
-401.0,-500.0,-171.0,-88.0,-181.0,-141.0,-500.0,-500.0,-500.0,-298.0
-289.0,-272.0,-126.0,-151.0,-173.0,-166.0,-221.0,-138.0,-229.0,-170.0
-500.0,-500.0,-500.0,-163.0,-500.0,-171.0,-304.0,-500.0,-500.0,-500.0
-285.0,-122.0,-229.0,-98.0,-213.0,-160.0,-160.0,-146.0,-98.0,-321.0
-500.0,-375.0,-105.0,-144.0,-500.0,-238.0,-126.0,-500.0,-500.0,-312.0
-320.0,-112.0,-136.0,-108.0,-210.0,-151.0,-97.0,-110.0,-169.0,-278.0
-325.0,-500.0,-263.0,-460.0,-500.0,-500.0,-500.0,-500.0,-500.0,-263.0
-175.0,-155.0,-143.0,-95.0,-488.0,-180.0,-184.0,-243.0,-127.0,-242.0
-500.0,-149.0,-162.0,-220.0,-500.0,-95.0,-500.0,-336.0,-500.0,-410.0
-294.0,-200.0,-131.0,-139.0,-170.0,-142.0,-154.0,-201.0,-130.0,-214.0
-500.0,-500.0,-156.0,-116.0,-500.0,-296.0,-178.0,-500.0,-500.0,-150.0
-407.0,-183.0,-112.0,-127.0,-208.0,-286.0,-90.0,-430.0,-227.0,-180.0
-500.0,-281.0,-500.0,-228.0,-500.0,-368.0,-500.0,-161.0,-349.0,-160.0
-396.0,-185.0,-273.0,-267.0,-205.0,-121.0,-324.0,-190.0,-214.0,-145.0
-250.0,-289.0,-227.0,-344.0,-500.0,-500.0,-500.0,-500.0,-146.0,-153.0
-228.0,-289.0,-145.0,-116.0,-215.0,-139.0,-125.0,-163.0,-158.0,-124.0
-500.0,-500.0,-471.0,-294.0,-264.0,-500.0,-330.0,-100.0,-500.0,-113.0
-286.0,-192.0,-122.0,-163.0,-169.0,-208.0,-239.0,-193.0,-159.0,-95.0
-425.0,-500.0,-500.0,-87.0,-500.0,-111.0,-468.0,-402.0,-120.0,-500.0
-289.0,-275.0,-130.0,-121.0,-293.0,-118.0,-234.0,-115.0,-129.0,-145.0
-500.0,-500.0,-500.0,-413.0,-149.0,-197.0,-134.0,-264.0,-459.0,-181.0
-200.0,-122.0,-133.0,-191.0,-155.0,-94.0,-148.0,-236.0,-370.0,-132.0
-375.0,-500.0,-500.0,-500.0,-500.0,-97.0,-196.0,-368.0,-500.0,-500.0
-198.0,-285.0,-163.0,-200.0,-184.0,-140.0,-116.0,-129.0,-122.0,-129.0
-500.0,-500.0,-105.0,-500.0,-334.0,-94.0,-500.0,-366.0,-500.0,-500.0
-251.0,-215.0,-198.0,-235.0,-126.0,-147.0,-185.0,-172.0,-230.0,-339.0
-500.0,-500.0,-102.0,-500.0,-500.0,-173.0,-461.0,-117.0,-500.0,-500.0
-256.0,-369.0,-107.0,-109.0,-141.0,-160.0,-180.0,-151.0,-264.0,-158.0
-500.0,-317.0,-168.0,-500.0,-248.0,-227.0,-95.0,-271.0,-268.0,-144.0
-444.0,-141.0,-156.0,-152.0,-257.0,-254.0,-113.0,-94.0,-126.0,-125.0
-500.0,-182.0,-114.0,-77.0,-500.0,-327.0,-182.0,-146.0,-500.0,-183.0
-244.0,-319.0,-90.0,-123.0,-264.0,-109.0,-188.0,-161.0,-189.0,-166.0
-261.0,-500.0,-228.0,-285.0,-382.0,-116.0,-500.0,-278.0,-500.0,-184.0
-133.0,-214.0,-124.0,-192.0,-182.0,-179.0,-158.0,-214.0,-123.0,-141.0
-219.0,-156.0,-360.0,-212.0,-379.0,-93.0,-325.0,-286.0,-500.0,-105.0
-384.0,-212.0,-308.0,-178.0,-213.0,-87.0,-207.0,-105.0,-128.0,-112.0
-319.0,-140.0,-140.0,-227.0,-183.0,-131.0,-426.0,-496.0,-500.0,-273.0
-155.0,-172.0,-150.0,-125.0,-196.0,-120.0,-228.0,-168.0,-171.0,-174.0
-167.0,-225.0,-177.0,-473.0,-187.0,-144.0,-228.0,-114.0,-337.0,-132.0
-230.0,-97.0,-156.0,-154.0,-124.0,-83.0,-203.0,-136.0,-165.0,-95.0
-242.0,-161.0,-84.0,-154.0,-134.0,-118.0,-209.0,-500.0,-202.0,-91.0
-132.0,-198.0,-162.0,-122.0,-140.0,-117.0,-139.0,-265.0,-220.0,-344.0
-239.0,-500.0,-165.0,-158.0,-164.0,-177.0,-472.0,-500.0,-500.0,-121.0
-312.0,-245.0,-137.0,-121.0,-151.0,-203.0,-168.0,-177.0,-124.0,-158.0
-500.0,-149.0,-123.0,-215.0,-281.0,-146.0,-152.0,-313.0,-500.0,-198.0
-118.0,-282.0,-128.0,-156.0,-157.0,-185.0,-149.0,-126.0,-170.0,-104.0
-500.0,-232.0,-128.0,-143.0,-269.0,-82.0,-500.0,-500.0,-134.0,-225.0
-354.0,-222.0,-152.0,-182.0,-156.0,-140.0,-252.0,-152.0,-139.0,-133.0
-415.0,-262.0,-140.0,-154.0,-113.0,-135.0,-500.0,-96.0,-212.0,-500.0
-163.0,-220.0,-148.0,-127.0,-130.0,-362.0,-223.0,-112.0,-281.0,-129.0
-342.0,-146.0,-164.0,-500.0,-345.0,-196.0,-166.0,-105.0,-500.0,-500.0
-228.0,-204.0,-112.0,-87.0,-175.0,-125.0,-158.0,-135.0,-112.0,-108.0
-500.0,-253.0,-121.0,-500.0,-233.0,-274.0,-105.0,-188.0,-500.0,-305.0
-240.0,-200.0,-187.0,-181.0,-190.0,-153.0,-94.0,-87.0,-121.0,-98.0
-82.0,-227.0,-126.0,-500.0,-500.0,-219.0,-500.0,-129.0,-500.0,-108.0
-233.0,-500.0,-104.0,-87.0,-129.0,-144.0,-165.0,-119.0,-204.0,-106.0
-500.0,-444.0,-120.0,-102.0,-500.0,-204.0,-183.0,-353.0,-500.0,-84.0
-219.0,-152.0,-232.0,-178.0,-171.0,-347.0,-246.0,-195.0,-245.0,-130.0
-158.0,-124.0,-114.0,-257.0,-500.0,-129.0,-493.0,-460.0,-293.0,-151.0
-335.0,-215.0,-111.0,-137.0,-184.0,-152.0,-175.0,-241.0,-124.0,-111.0
-476.0,-500.0,-126.0,-500.0,-500.0,-500.0,-500.0,-142.0,-500.0,-434.0
-205.0,-500.0,-104.0,-131.0,-129.0,-208.0,-183.0,-154.0,-175.0,-143.0
-500.0,-317.0,-95.0,-393.0,-182.0,-491.0,-500.0,-470.0,-500.0,-118.0
-200.0,-159.0,-149.0,-231.0,-143.0,-222.0,-127.0,-186.0,-188.0,-500.0
-500.0,-500.0,-127.0,-157.0,-243.0,-194.0,-466.0,-231.0,-500.0,-116.0
-221.0,-210.0,-103.0,-147.0,-170.0,-163.0,-116.0,-122.0,-378.0,-84.0
-269.0,-500.0,-100.0,-317.0,-449.0,-97.0,-500.0,-270.0,-500.0,-86.0
-340.0,-158.0,-124.0,-164.0,-166.0,-136.0,-181.0,-162.0,-254.0,-118.0
-360.0,-160.0,-179.0,-293.0,-257.0,-500.0,-255.0,-101.0,-190.0,-142.0
-270.0,-227.0,-181.0,-153.0,-177.0,-189.0,-118.0,-168.0,-146.0,-194.0
-500.0,-309.0,-258.0,-135.0,-499.0,-227.0,-217.0,-99.0,-500.0,-94.0
-317.0,-179.0,-163.0,-122.0,-221.0,-149.0,-177.0,-295.0,-120.0,-84.0
-500.0,-500.0,-91.0,-104.0,-114.0,-149.0,-91.0,-146.0,-500.0,-102.0
-301.0,-171.0,-260.0,-207.0,-231.0,-122.0,-140.0,-126.0,-127.0,-106.0
-244.0,-500.0,-121.0,-500.0,-500.0,-242.0,-173.0,-112.0,-500.0,-119.0
-194.0,-129.0,-187.0,-157.0,-210.0,-165.0,-124.0,-180.0,-153.0,-87.0
-500.0,-487.0,-124.0,-169.0,-298.0,-126.0,-436.0,-323.0,-393.0,-125.0
-133.0,-129.0,-130.0,-260.0,-243.0,-161.0,-131.0,-160.0,-169.0,-87.0
-500.0,-500.0,-110.0,-117.0,-348.0,-177.0,-500.0,-138.0,-147.0,-104.0
-288.0,-153.0,-145.0,-154.0,-107.0,-187.0,-110.0,-175.0,-140.0,-94.0
-500.0,-180.0,-200.0,-371.0,-500.0,-206.0,-500.0,-108.0,-456.0,-183.0
-367.0,-195.0,-162.0,-160.0,-176.0,-175.0,-259.0,-124.0,-145.0,-111.0
-500.0,-142.0,-189.0,-165.0,-451.0,-195.0,-500.0,-127.0,-500.0,-135.0
-284.0,-185.0,-148.0,-139.0,-326.0,-124.0,-108.0,-172.0,-137.0,-113.0
