Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-481.0,-405.0,-500.0,-500.0,-500.0,-500.0,-429.0,-500.0,-500.0,-500.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-324.0
-240.0,-385.0,-452.0,-500.0,-500.0,-500.0,-310.0,-500.0,-384.0,-500.0
-257.0,-367.0,-263.0,-345.0,-500.0,-472.0,-254.0,-500.0,-341.0,-247.0
-299.0,-218.0,-248.0,-500.0,-500.0,-359.0,-320.0,-500.0,-500.0,-393.0
-151.0,-201.0,-374.0,-500.0,-500.0,-500.0,-339.0,-500.0,-333.0,-464.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-500.0,-210.0,-486.0,-500.0,-378.0,-500.0,-500.0,-500.0,-500.0,-369.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-494.0,-448.0,-500.0,-389.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-490.0,-500.0,-500.0,-500.0
-500.0,-239.0,-500.0,-500.0,-437.0,-303.0,-358.0,-305.0,-500.0,-331.0
-500.0,-285.0,-500.0,-500.0,-500.0,-500.0,-232.0,-225.0,-419.0,-500.0
-500.0,-207.0,-162.0,-341.0,-348.0,-254.0,-330.0,-356.0,-285.0,-338.0
-424.0,-199.0,-197.0,-431.0,-359.0,-439.0,-264.0,-316.0,-328.0,-500.0
-279.0,-121.0,-126.0,-416.0,-334.0,-197.0,-214.0,-464.0,-197.0,-217.0
-233.0,-247.0,-183.0,-99.0,-266.0,-204.0,-189.0,-394.0,-280.0,-327.0
-210.0,-124.0,-114.0,-369.0,-229.0,-148.0,-204.0,-336.0,-145.0,-444.0
-114.0,-127.0,-198.0,-215.0,-212.0,-218.0,-180.0,-451.0,-152.0,-424.0
-130.0,-141.0,-259.0,-500.0,-222.0,-202.0,-279.0,-276.0,-262.0,-462.0
-161.0,-129.0,-247.0,-396.0,-193.0,-118.0,-380.0,-500.0,-140.0,-390.0
-199.0,-230.0,-202.0,-500.0,-227.0,-500.0,-313.0,-500.0,-146.0,-500.0
-323.0,-282.0,-193.0,-328.0,-266.0,-284.0,-294.0,-420.0,-241.0,-500.0
-245.0,-500.0,-249.0,-500.0,-291.0,-500.0,-225.0,-352.0,-447.0,-264.0
-412.0,-124.0,-250.0,-397.0,-334.0,-439.0,-288.0,-309.0,-177.0,-367.0
-147.0,-222.0,-164.0,-248.0,-243.0,-478.0,-196.0,-233.0,-174.0,-284.0
-256.0,-187.0,-320.0,-320.0,-206.0,-204.0,-211.0,-147.0,-157.0,-163.0
-305.0,-171.0,-388.0,-230.0,-202.0,-216.0,-173.0,-163.0,-185.0,-197.0
-191.0,-154.0,-289.0,-142.0,-151.0,-167.0,-193.0,-255.0,-118.0,-159.0
-254.0,-147.0,-284.0,-161.0,-248.0,-252.0,-148.0,-151.0,-160.0,-226.0
-141.0,-131.0,-306.0,-193.0,-124.0,-146.0,-114.0,-223.0,-131.0,-174.0
-171.0,-146.0,-232.0,-189.0,-178.0,-167.0,-118.0,-283.0,-176.0,-255.0
-166.0,-500.0,-156.0,-306.0,-154.0,-126.0,-123.0,-180.0,-133.0,-251.0
-160.0,-325.0,-318.0,-221.0,-173.0,-219.0,-157.0,-282.0,-205.0,-220.0
-183.0,-270.0,-219.0,-415.0,-220.0,-151.0,-190.0,-341.0,-157.0,-183.0
-240.0,-278.0,-193.0,-500.0,-225.0,-130.0,-168.0,-208.0,-260.0,-276.0
-194.0,-365.0,-191.0,-350.0,-141.0,-247.0,-169.0,-205.0,-187.0,-299.0
-140.0,-396.0,-237.0,-260.0,-239.0,-158.0,-194.0,-206.0,-225.0,-259.0
-177.0,-388.0,-314.0,-500.0,-180.0,-181.0,-169.0,-271.0,-309.0,-256.0
-206.0,-299.0,-500.0,-353.0,-209.0,-244.0,-197.0,-155.0,-183.0,-277.0
-150.0,-500.0,-359.0,-279.0,-125.0,-137.0,-138.0,-197.0,-223.0,-164.0
-149.0,-353.0,-205.0,-240.0,-295.0,-385.0,-230.0,-186.0,-191.0,-170.0
-158.0,-492.0,-340.0,-207.0,-147.0,-279.0,-173.0,-189.0,-139.0,-265.0
-171.0,-220.0,-223.0,-168.0,-151.0,-252.0,-173.0,-202.0,-189.0,-191.0
-187.0,-239.0,-433.0,-177.0,-142.0,-130.0,-165.0,-138.0,-138.0,-186.0
