Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-6141.6855,-6372.4385,-4532.0576,-3077.4893,-8312.727,-5639.8047,-4657.513,-3211.6538,-5084.808,-5186.9873
-3767.4116,-3951.2844,-1629.1178,-2599.8608,-1475.3884,-2370.4373,-3742.4717,-681.6727,-3793.0122,-2199.6875
-3145.1226,-1618.3088,-3258.1187,-461.82983,-654.455,-2164.9033,-2799.7876,-833.6709,-2345.62,-603.6122
-2115.7764,-540.2981,-1225.1777,-561.30237,-171.12227,-1917.2977,-2265.4736,-473.5398,-1889.9004,-2022.8384
-2464.2793,-327.4345,-2441.5176,-754.7801,-1233.5143,-573.29175,-1640.1953,-1285.5417,-1449.4016,-641.611
-1675.803,-891.3187,-3092.8276,-169.61421,-861.8286,-739.547,-1378.5488,-778.35706,-1284.3757,-692.91187
-664.5823,-371.5429,-3077.084,-364.83612,-780.7827,-1001.5591,-917.75073,-1458.6943,-1577.9124,-483.86584
-1778.245,-186.54843,-1673.7473,115.42375,-804.4473,-651.4783,-228.30794,-747.10016,-824.81805,-1256.2959
-1594.2678,-147.56404,-242.67703,-153.97269,-1016.47705,-438.2754,-86.654976,-973.3032,-980.5603,-521.8097
-1391.0488,-130.49054,-251.39413,-381.50787,-461.77533,-597.5514,-449.27225,-922.4952,-2340.0894,-517.0309
-384.32288,-206.91475,-493.00012,-609.9734,-1147.8508,-734.2489,-548.9853,-312.99576,-1351.0889,-328.31445
-673.4914,-699.1355,-662.4284,-198.8187,-1337.1515,-791.6462,-625.99506,-285.37988,-927.5771,-317.79834
-675.4155,-1067.187,-471.3706,-158.61237,-987.9778,-339.78748,-1496.4021,-274.24622,-854.44763,-251.97333
-880.89417,-304.15652,-1358.6996,-268.00964,-111.33307,-751.826,-487.32385,-155.85373,-452.77887,-184.63419
-1912.2207,-190.47247,-401.35733,-1268.0609,-441.0643,-512.94507,-315.09805,-171.20273,-927.19617,-346.89117
-773.8107,-115.82153,-845.17004,-468.78156,-211.21599,-658.4923,-117.82745,-128.07025,-693.61743,-779.5537
-291.44684,-163.67505,-521.6537,-441.54718,-190.28278,-125.8953,-233.24521,-80.672264,-342.2778,-44.16257
-750.1806,-116.1151,-304.14594,-556.71277,-169.60655,-231.18954,-231.71063,-270.4681,-300.91162,-95.73187
-373.51666,-310.17673,-386.74512,-533.5898,-298.1457,-136.59604,-184.35767,-895.8928,-234.92386,-11.2755165
-206.21513,-228.4964,-657.7772,-394.48465,-254.14517,-59.591885,-333.08752,-832.0364,-603.26373,31.833078
-435.269,-258.9926,-296.1129,-667.72394,-322.28003,-332.61877,-217.51031,-1911.4448,-888.4007,-139.98346
-576.20764,-78.4993,-393.48724,-804.5509,-658.41895,-166.9722,-221.32425,-3059.7776,-186.17558,-50.05124
-15.312007,-157.69574,-229.69861,-1697.9464,-850.0363,-129.91563,-123.12874,-2677.8296,-203.2666,-52.131508
-321.59918,-763.9295,-297.01505,-619.4561,-567.575,-189.51114,-193.65707,-1737.1492,-210.86601,-157.48257
96.231995,-331.49026,-689.1118,-590.7946,-651.8266,-60.231857,-94.24543,-1075.47,-248.96097,-22.425196
-82.70862,-264.57288,-1337.8256,-139.39182,-272.8539,-47.420883,-152.26205,-1127.2798,-677.2178,-243.65598
-287.8278,-173.2131,-1641.4553,-161.97922,-1578.5757,-48.019875,-97.09142,-1714.8739,-812.01807,-83.46991
-284.23376,-78.415146,-611.1492,-154.10027,-1754.6293,-246.07971,-128.90375,-1566.7146,-620.4254,-52.21953
-98.214714,-114.197235,-298.73334,-161.50356,-1129.5125,-507.82428,-138.1462,-1427.919,-460.26294,-59.483887
-107.25683,-111.77634,-289.77948,-139.44615,-588.4785,-182.15349,-122.05669,-733.72473,-525.85254,-297.65552
-272.98865,49.74441,-280.4874,-326.0462,-367.2411,-120.15144,-106.96823,-144.1507,-344.4831,-48.873062
-46.241486,-52.669327,-143.15413,-222.40543,8.535383,-488.33408,-187.1431,-894.01843,-224.55713,-230.64279
-115.37349,-37.988068,-173.76938,-56.23573,-524.2164,-146.02457,-385.65228,-340.31088,-272.99976,-719.4743
40.86886,35.053577,-297.25504,-106.94078,-119.54573,-19.669262,-442.5839,-71.06957,-192.37776,-547.30066
-0.16275406,187.51988,-345.33987,-105.0916,-128.9758,-63.77295,-718.1951,-586.14954,-303.36505,-56.870514
189.57703,311.85715,-43.199924,-80.54342,-190.99329,-185.14507,-482.70987,-551.2096,-1775.463,-77.51145
-100.774925,-249.49832,-142.7062,-215.11948,-135.84329,-474.49454,-314.32718,-1081.2946,-815.39417,-55.759834
-54.730408,385.9251,-126.96991,-341.1754,-48.000557,-141.1614,-656.9381,-379.6349,-1668.3042,-566.3246
-23.90617,229.94153,-55.381027,-288.1805,-299.05508,-8.2350235,-221.18225,-352.86182,-686.0729,-365.4651
196.04138,350.32013,-89.06105,77.59136,-297.74295,234.79504,-136.18523,-984.065,-228.06094,-102.10243
-83.55701,-15.634193,-92.87933,-431.90936,-74.36628,308.7948,-99.06048,-955.1293,-176.08907,-24.200586
116.48522,-177.87724,-616.5812,-129.04614,-446.60413,190.13107,-100.92951,-765.3176,-290.22693,-82.563675
327.89185,-137.86055,-77.69702,-56.437103,-63.907745,-193.82957,-145.4455,-102.0224,-112.301674,316.60458
1039.2191,-170.0411,-210.15494,-104.0147,-34.390858,32.69583,-90.71678,-157.17255,-85.22734,410.22882
744.6631,306.35162,-161.3636,-78.84955,-79.892365,-269.8979,-183.27171,-213.63312,-56.16387,248.67618
-103.317116,149.36577,-360.77945,135.75285,-109.18111,521.18054,-171.99924,-149.49982,-19.293882,300.883
550.43884,1102.0236,-210.99518,-180.76265,-47.654053,-189.86394,-88.27176,-175.69586,57.198357,225.69739
321.03876,112.99861,-146.86969,-94.53065,-63.28139,66.6514,-73.61389,-187.55756,66.7221,921.0343
869.5089,123.13294,-183.45064,-98.52727,-97.7543,164.9855,-188.24228,-209.80704,202.32002,462.47424
433.79285,51.634693,41.48463,-293.2433,-312.65573,-151.41368,-237.61493,-73.49383,-199.87148,-340.43167
264.4118,38.845425,-69.88721,-75.29569,-17.624794,-159.81604,-440.84174,5.932769,-17.207878,711.53735
176.85956,-8.6007,-152.31146,-46.73377,-129.20831,-835.02124,-668.3757,243.09917,-164.8475,-282.95856
260.40845,234.42587,-291.10797,-21.063454,-331.52444,104.55,-461.69226,-28.894497,-544.1151,276.15494
476.73718,431.56665,-146.1786,-36.545517,1.4756393,-278.92038,-1065.0886,253.61308,-572.94653,777.7395
-88.0611,437.3974,-443.22205,-12.041864,69.60361,-415.03018,-233.98715,-444.44653,-304.60736,496.18497
133.34183,194.63046,-255.28833,-306.6258,-354.46497,-160.04984,-168.32204,-289.92236,-572.287,1031.4827
396.529,269.3251,131.68633,-116.06972,-659.5569,-120.34632,-50.19731,111.05382,-508.43915,693.0232
