Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-5125.6,-8365.423,-3763.354,-4716.419,-5231.0083,-3445.5771,-4393.835,-7132.404,-3390.96,-7131.326
-304.96014,-862.59143,-2635.2332,-2531.9143,-910.9519,-2220.7124,-1897.2747,-1593.207,-940.7395,-1241.0103
-1554.2449,-738.818,-836.4417,-2537.4124,-1641.9939,-785.14056,-1692.4976,-1405.4348,-944.04895,-1386.7507
-216.16174,-1504.9498,-1062.5117,-1229.2211,-247.51154,-113.22529,-3118.316,-511.71698,-3485.2249,-2013.3296
-464.73993,-1452.7938,-1604.3256,-757.7753,-790.7448,-201.47093,-1704.7799,-341.05658,-2548.3467,-1214.9241
68.36653,-805.03253,-1098.7429,-1704.3516,-1305.7659,-650.2728,-1113.2373,-280.50613,-800.6754,-1004.4031
-559.8151,-956.7111,-348.9626,-460.86896,-1247.522,-126.0246,-439.65283,-807.34454,-1205.6833,-1316.6434
149.14505,-640.36896,-349.85693,-229.2432,-840.361,-418.2943,-728.8551,-1549.7699,37.44742,-715.105
50.95777,-323.86978,-163.87253,-69.90221,-619.47845,-540.5102,-534.8849,-688.9071,-322.27707,-649.6805
253.612,-10.966846,-292.79462,-90.9839,-787.308,-288.28244,-1234.3428,-232.81671,-141.74397,-152.9064
614.7977,-112.37672,-485.98975,-280.32053,-796.1954,-135.18726,-474.5523,-317.28146,-487.60657,-87.09722
360.96088,-208.80453,-119.88983,-743.197,-358.68686,-176.10664,-394.02136,-97.68176,-650.0751,-55.537605
125.324,-52.44049,-12.668253,-805.3884,-450.87518,-38.361176,-340.55316,-437.50183,-187.95306,-130.38211
-57.550537,-143.70663,-215.76219,-501.83636,-282.72403,-236.55641,-32.0374,-272.5905,-196.36426,-849.92896
-49.803867,-176.8665,-75.87619,-117.036835,-288.12946,-28.418568,-163.52277,-416.82376,-121.6093,-197.66388
-212.02649,-183.1144,-68.21033,-257.64835,-146.532,-200.00049,-273.02502,-376.99487,-13.99835,-227.15485
-65.35614,-285.2116,-42.409164,-171.45834,-420.52005,18.970013,-187.99536,-189.69101,-62.934067,-84.74006
26.410633,-669.7269,-290.63165,-293.0635,-130.34102,-550.55994,-331.05603,-426.58136,-85.16585,3.680681
149.25366,-234.518,-319.62567,-220.57455,-56.350204,-333.56458,-229.46198,-579.6197,-142.43076,-148.14627
274.174,-341.26538,-388.2133,-367.02753,-129.24635,-351.50293,-185.8854,-251.46808,-128.17938,-186.04831
-126.85392,-23.65313,-136.22961,-105.7325,-112.44693,-332.6908,-9.489174,-47.614082,-543.1566,-518.2285
-85.59597,-107.324875,-176.61954,-113.66135,-321.5519,-376.75797,-187.65323,-562.0156,-177.36679,-106.37843
130.30429,-86.664856,-358.04712,-203.55182,-187.31485,-164.10396,-152.93062,-163.32127,-78.376785,-94.10415
328.36523,-48.908073,-223.34564,-215.30759,-236.35513,-189.64882,-211.4318,-195.17737,-313.77475,-105.643936
-45.437378,-52.215134,-364.9682,-2.1270905,-137.51317,-172.36513,-131.00249,-25.65467,-214.8323,-68.302216
-119.916145,7.866314,-609.96985,-313.3853,-291.9041,-101.359665,-389.18842,-147.39772,-94.361824,-460.56125
0.6006913,15.767073,-55.102962,-270.44342,-277.57877,-201.6031,-759.7145,-294.77878,-638.9131,-380.20105
-154.84215,20.592783,-94.35727,-191.33542,-178.92175,-71.653076,-715.01416,-659.5259,-107.54984,-528.8197
-345.83337,-81.89964,-65.402596,-252.23715,-139.00752,-189.77023,-817.25696,-598.5603,-193.99939,-623.72345
-1762.4446,-23.052507,-145.37672,-484.03824,-95.527954,-90.79634,-507.1548,-235.6662,-147.63339,-76.3008
221.73322,-86.87283,-150.21898,-392.51947,-433.33777,-51.78418,-220.1771,-183.21771,-215.3717,-106.53999
-308.4229,-88.567474,-203.1328,-302.2001,-329.51257,-32.392136,-396.92578,-201.04523,-171.11913,-301.24774
-200.03893,-54.89255,-232.15869,-178.77188,-242.14716,-111.23623,-380.6114,-187.65057,-22.897877,-173.1128
-195.9598,-64.54602,-178.48787,-221.03607,-342.85663,330.40042,-535.39545,-120.79159,-170.56393,-1168.5112
-299.12344,-233.02844,-294.1843,-77.544235,-634.3196,12.10755,-162.13693,-223.44133,-290.23087,-741.2584
-324.9804,-425.8132,-193.81859,3.9190636,-296.03116,246.46283,-192.94296,-109.28501,-195.73145,-240.51514
-331.49524,-135.47784,-289.862,-63.63534,-435.8838,59.36836,-215.15225,-240.21078,-398.1657,-72.99722
-32.847954,-345.6663,-278.84744,-15.954448,-1232.1215,310.88776,-845.4126,90.304405,-51.74188,-212.3328
-107.31041,-126.421906,-229.44763,-37.35455,-503.76593,63.266266,-481.67993,-366.064,-217.16803,-199.08508
-100.61294,-98.6163,-157.90889,-111.57047,-278.3491,122.58247,-605.65295,457.27417,-173.38333,-126.30727
-113.37793,-198.43846,-102.500946,-62.233635,-178.76398,590.77295,-548.72943,-279.78806,-260.9667,-279.81512
32.172745,-70.734955,-409.92984,-250.67876,-286.51666,73.42998,-472.99722,-165.46368,-141.78017,-499.1962
-178.90193,-140.24615,-117.38539,-43.900444,-166.78925,382.4374,-181.24152,-153.8038,-438.08844,-165.1954
-211.59366,-95.08574,-221.87466,7.5171967,-107.84117,888.051,-643.1279,-109.19141,-113.58756,-201.07141
161.08997,-436.48718,-187.0097,-37.77298,-42.308254,587.02545,-967.59766,380.40662,-209.15051,-148.07593
40.52926,-225.9772,-162.09729,-62.147438,-199.72154,494.2832,-356.932,1052.4691,-210.97021,52.60723
-295.0535,-285.80008,-106.33052,-64.529785,-55.337097,701.8083,-592.3822,488.53436,61.867218,-324.88843
-285.6744,-575.5304,-113.04249,-114.14363,-202.69576,352.2504,-275.20834,434.37842,-97.80314,122.39575
-31.21048,-275.4995,-189.89844,-15.252186,-352.25308,660.53766,-149.1262,649.74414,-405.2184,101.403915
-125.15979,-647.43494,-118.977455,-51.16754,-294.23584,1041.601,-444.78796,100.836235,-275.73672,236.08154
40.328613,-553.8867,-54.577477,-84.105545,-84.581825,690.3366,-411.4263,417.06747,-349.37695,-155.5827
86.84153,-545.779,45.859314,-38.624527,-134.94307,877.5497,-31.213371,304.16833,-340.83493,-187.09184
422.456,-469.97406,-267.14746,-153.6226,-160.50368,205.15964,31.819008,791.8367,258.2951,-86.1388
14.394363,-717.8577,92.05374,-90.15283,-381.46,330.38007,-284.85776,487.06555,64.013275,11.189012
28.662338,-527.50256,1088.9971,-116.20427,-390.28796,362.55374,-131.11029,579.4916,-189.89523,-296.28308
-22.687754,-980.36414,796.4685,-119.389404,-287.60345,760.9614,164.26605,216.49329,-203.02866,3.1070843
-73.72537,-417.1925,396.05136,-80.08534,-98.26488,423.24185,21.447298,628.8869,23.976791,-202.60602
-68.42262,-409.49957,361.0775,-68.686775,-103.36803,1370.8816,7.2672157,616.8479,-717.119,41.393066
-115.60547,-544.7033,269.8549,-58.610138,-154.18697,430.44763,-193.46179,131.25217,-585.8017,-112.96025
-467.43433,-150.19911,-38.52127,42.745983,5.8780966,1441.2153,-97.488884,290.5371,-499.47845,-72.71556
-79.00412,31.279942,572.073,-98.915634,-42.15571,1530.3762,69.00647,486.62518,9.295696,-51.167313
-103.38765,136.44763,240.55635,-83.09407,-21.604465,350.8825,24.24623,-50.94949,6.6331406,-98.53598
-274.68994,-216.86853,-23.065737,-13.759465,-63.451202,505.0916,79.560005,1124.9191,-73.53516,-143.13432
-37.289932,335.58972,317.3497,-132.08969,-51.88133,1376.1556,40.11483,626.3213,67.65002,-105.03308
-16.107878,-249.88571,426.3911,-68.74453,-16.089962,934.28894,160.73721,29.17234,-252.43338,-78.904724
121.38708,-268.88095,6.120926,-27.818392,-104.74817,1340.8169,104.0564,201.06235,-299.62082,-165.96667
-35.45275,-64.108574,378.1349,-66.19468,-23.01963,530.17004,-15.130805,49.859554,-195.34892,-149.91913
107.713165,-219.95062,498.94287,-130.92802,-79.28027,594.0769,327.9786,263.64056,-567.72754,-79.960785
145.53094,-104.85262,975.21936,47.51716,-64.49818,544.7364,158.50198,105.31468,-334.50775,22.955193
-538.8742,-128.86581,299.97455,-25.07294,-121.8799,574.0872,29.284142,954.7003,-217.93497,199.45682
-531.1986,-134.29451,328.21777,31.907036,22.99702,1027.5427,-92.118645,336.88525,-191.8563,134.61809
-136.84267,-297.26187,864.125,306.92322,-17.212051,21.026443,-381.01538,304.93872,-130.15118,-119.46437
-156.88545,-459.38837,74.75583,-66.50978,-52.272865,1154.604,-56.550777,230.68086,73.6991,-326.5134
466.09262,-112.98857,328.3481,84.22257,-114.579834,1090.1732,-468.6,-170.31589,65.6313,-14.629019
199.86824,-55.276653,253.51051,-90.298584,-105.83564,1218.0968,-395.47168,126.06895,96.41055,-374.26547
-98.22327,321.19275,567.26086,-20.940866,-559.8293,1068.0684,-1019.67706,225.33064,-13.861098,-380.04132
-47.78521,328.3775,62.818893,-61.65793,-816.1178,1599.0112,-94.74749,-391.42746,-269.23224,10.243048
27.602516,628.9635,493.71997,-123.52294,-75.135826,924.9828,-48.05216,-53.394867,-353.69904,-373.38977
54.44677,342.3493,399.57996,-12.658125,-27.125988,1243.2819,-32.90323,-116.82246,-268.04858,-225.81104
489.30444,82.11741,482.29553,-82.37409,-218.50871,901.48303,-287.41086,471.67505,419.7568,-134.61925
919.7166,83.2515,639.5017,-165.63388,-53.100018,757.44635,226.96321,810.5782,-65.5054,-209.77466
1172.3442,198.36163,726.87366,-171.60632,-140.64642,1261.3385,-223.4708,893.53784,162.12912,-88.18983
546.81146,348.07526,556.8911,-200.60721,-323.59436,811.7572,-272.11444,270.90323,73.04508,-275.09833
892.2877,489.0277,524.33624,-27.06111,-293.59216,785.1681,-164.86238,1146.0278,58.524204,-128.69434
457.03372,-299.6825,214.90067,78.27274,-83.62315,1513.9702,685.2306,842.9406,-27.380531,146.54922
218.60403,916.56354,337.89197,389.91504,-124.758965,975.56305,132.02972,904.40564,22.378113,773.3778
278.14255,1239.9927,577.33575,484.9201,-209.15851,775.32605,344.25797,218.64531,-81.17856,171.94318
480.1892,206.80605,318.5225,294.04218,-77.74686,435.37698,107.38849,243.73337,-124.06735,310.45477
472.9126,305.63293,614.274,131.87642,-81.04273,1710.3982,326.06366,536.1936,-290.5355,-208.5788
43.588806,90.864944,38.321938,94.48909,-22.80272,679.0952,232.9088,924.62024,-440.0174,132.08383
268.99527,490.42484,490.5537,743.2361,-42.998886,1508.999,410.08936,478.07532,-246.9367,323.13748
655.38556,84.92363,386.22284,-134.89052,-60.28632,1394.2903,427.67514,518.7048,-187.93088,250.14679
742.1586,501.0479,673.2397,-181.73952,-35.467125,784.73254,224.13794,701.35815,372.13507,394.05774
290.3312,105.15239,167.38875,-449.19916,1.954258,1298.4836,317.93454,595.2162,-61.363075,27.655245
24.41256,-67.12996,42.601425,-280.7325,-28.348167,466.3934,335.04514,1250.7942,500.66443,174.15524
437.39813,233.76544,10.549885,-271.18146,8.315027,465.5728,607.9481,712.584,320.99112,14.011681
405.3322,-110.46117,534.463,-118.07152,-88.5025,838.67444,761.8828,912.609,-102.60436,299.13058
355.78113,-52.277607,87.09076,101.2125,-159.60077,881.34735,750.0819,505.34656,97.39325,202.93985
680.9862,1.0134804,120.28096,303.22403,-117.91052,1044.773,855.98206,246.31604,-50.444214,520.7125
948.7541,51.493225,648.75977,636.25586,-445.31152,533.6623,348.98517,734.1843,-326.88385,1221.7922
