Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-4654.106,-4444.166,-4597.254,-3486.9143,-3203.8462,-4375.4717,-5099.9756,-4030.5994,-4695.9214,-4361.2324
-3963.7583,-2753.0098,-2051.24,-681.7085,-320.82928,-926.769,-1967.0671,-2554.0356,-3534.376,-1827.3876
-1407.5756,-1759.5872,-2409.7334,-256.25287,-152.62405,-113.488884,-1616.1604,-1779.8245,-1799.2389,-1321.1586
-589.94836,-835.6619,-1172.8428,-357.57053,-236.13483,-1145.7653,-901.2801,-1097.4386,-755.2166,-685.40564
-142.49007,-249.3763,-709.91235,-633.262,-437.3896,-1203.6633,-1125.0952,-691.9757,-1411.509,-1064.8536
-474.77625,-442.6199,-370.15698,-108.219505,-253.62105,-1501.8789,-626.88275,-848.95935,-1905.6838,-1744.2004
-619.397,-472.1391,-595.8214,-939.00806,-166.7848,-889.85944,-300.1825,-691.2051,-2242.0586,-876.7573
-538.74585,-2239.72,-637.2589,-1026.8333,-45.019966,-621.36694,-211.97902,-305.90405,-781.4473,-1317.2814
-850.89966,-884.1063,-414.49396,-353.1417,30.15289,-1348.7025,-122.54389,-186.36964,-319.70172,-915.8023
-975.03906,-152.29453,-372.91898,-356.63065,-271.51434,-1555.4413,-175.41823,-215.33551,-403.0705,-1354.9692
-1100.8862,-471.4168,-195.44772,-858.6356,-475.1797,-1324.4104,-77.03033,-98.95217,-349.39236,-610.329
-645.4486,-278.56607,-162.78645,-585.39795,-393.297,-650.61414,-121.171005,-235.50609,-548.1407,-181.56552
-1099.3667,-451.47357,-757.922,-936.8855,83.96209,-212.94916,-230.54921,-364.55737,-122.09861,-982.74384
-547.29944,-312.58203,-411.35608,-421.53943,-707.1719,-1176.8868,-484.25528,-261.82574,-1346.6913,-2050.2502
40.820663,-480.6234,-515.8446,-271.04605,-226.3468,-2309.6646,-881.5631,-336.4416,-781.8613,-1521.4652
-8.963924,-206.6041,-552.2487,-59.35487,-125.357994,-1274.9564,-584.49146,-285.04175,-145.20558,-2017.4785
-67.17395,-198.81946,-424.91907,-158.75137,-182.11203,-700.0142,-119.65367,-318.56262,-637.7815,-825.471
-31.181524,-204.17854,73.47721,-739.35693,-740.2101,19.64827,-790.1492,-148.56067,-1074.8665,-179.32141
-48.40239,-173.88281,-209.04716,-627.7415,-723.64624,754.1552,-159.80185,-357.89532,-276.753,-323.84512
-40.62741,-331.70468,-370.02383,-846.5065,-211.17918,174.31816,-324.86337,-497.4228,-168.42282,-449.02643
-196.81546,-119.697975,-150.42816,-637.0255,-20.738518,-551.31885,-743.90857,-547.1907,-242.55826,-33.07576
-136.22989,-1416.0522,-118.43238,-109.34867,-69.83444,-354.58072,-630.0784,-353.65662,-573.30206,-296.3337
405.3405,-1249.3818,-103.156494,-470.45734,-0.9829941,43.22722,-197.96524,-341.33902,-323.94867,-52.24826
-321.13348,-828.8553,-94.415054,-220.76732,-28.805065,-144.84195,-261.19028,-158.9079,-584.8298,-223.68613
189.21796,-309.39276,-734.92236,-129.59402,-74.07266,-49.965103,-282.71823,-101.28906,-718.24414,-529.38306
788.23816,-307.62335,-1078.2953,-135.50037,-396.09537,46.554253,-222.66846,61.450447,-783.09924,-174.84065
190.72214,-265.65256,-1689.1545,-273.46793,-254.21698,-530.28265,-324.66187,-196.49652,-693.25574,-401.08908
-1550.9197,-251.05112,-34.885487,-30.827301,-47.182228,-220.64224,-420.15765,-1.7883487,-1272.5317,-233.57321
-283.92633,11.229525,-91.331184,-180.11331,7.4505343,37.514168,-233.11263,-199.00114,-438.8203,-365.95013
-338.01334,-178.48236,-54.60527,-18.811811,-18.772934,-7.3994303,-154.91751,7.0820646,-611.5558,-47.867176
-83.02753,-71.679756,17.825804,-116.38158,-30.605648,3.473442,-341.25873,-177.49098,-134.86546,-105.883575
686.6997,-152.33185,-71.70067,-40.801414,-78.6003,49.52742,-168.90083,-99.506676,-163.62054,-603.74744
997.079,-309.23386,-113.91881,-32.054684,-339.02838,-18.15387,-263.97382,-133.71747,-256.13318,-9.451294
329.3993,-132.6193,-158.09438,-16.686962,-319.2047,521.5779,-290.92163,-224.02003,-278.3669,-167.16736
940.4633,-124.241325,-201.70946,-23.825935,177.30188,539.41614,-135.10083,-176.65567,-600.9591,389.4463
-246.85542,-189.29916,-241.07558,-52.11544,206.82483,830.92944,-108.261986,-201.93686,-108.32346,104.42984
60.33899,-265.9654,-447.2345,-61.56933,410.09613,513.50024,-111.58394,-243.57324,-569.08325,165.8213
368.93295,-218.81592,-243.99414,-109.513626,84.81093,-0.8180847,-152.9125,-84.33113,-204.92123,344.4169
1120.3679,-252.17046,-460.32135,8.539024,83.76572,-623.67975,-657.69385,-297.53708,-184.07301,-4.787864
800.2833,-592.35974,-207.55574,153.15894,469.3873,-776.37646,-1013.4352,-306.62833,-523.0991,-151.56917
362.93475,-93.62024,-269.83752,-74.45267,181.78445,-623.63745,-708.82776,-244.04411,-600.21826,84.40653
184.09286,-507.00476,-392.07043,56.26603,135.83804,-232.5068,-592.078,-57.26976,-996.60205,-149.90135
756.3639,-209.24225,-143.3935,-75.96516,274.99408,219.88107,-165.53143,-127.70047,-496.51373,35.02101
1440.9673,-204.93408,-236.44894,16.801853,21.224571,231.5105,-95.69551,-191.28299,147.9417,1.3662682
1104.2704,-589.7572,-102.75723,84.79812,-49.019516,123.17622,-159.29877,-35.30815,-71.8451,101.951904
1007.20166,-146.35568,-426.96323,-4.5208035,140.98807,-28.108854,-160.58301,-94.65077,41.418976,159.28339
1111.5203,-382.12802,-202.665,-51.77844,783.8917,-11.293003,-177.5981,-214.32619,9.0732765,238.49208
209.27737,-163.73485,-461.4986,-62.85499,127.59593,-85.88374,-19.009333,-882.474,16.27251,291.35602
201.58914,-130.29295,-364.52707,-65.643555,245.0573,-58.616135,-32.11827,-520.3219,-12.79714,193.04907
1054.0735,-145.25133,-77.126366,-28.402485,-46.002052,-140.79095,-12.985567,-819.6172,-57.465164,131.32678
1491.6124,-279.61832,-146.59572,-63.95784,-39.2388,-275.19733,-136.67616,-339.3707,-14.504272,365.87344
772.52496,-203.93433,-16.84991,-33.7606,399.7333,-404.81372,-47.686226,-95.67887,5.818329,-114.71639
453.4863,-157.85527,-52.56362,42.33407,90.15253,-417.42746,35.86059,-147.1198,27.003662,391.81082
211.07657,-144.20258,23.05229,-69.74087,-187.60449,-558.7512,-16.490637,-86.925156,36.846275,944.5282
907.79846,-155.64093,-195.1821,-55.077297,600.47,-229.53873,-31.713207,-90.223465,47.817307,900.25696
1066.9343,-144.80989,-908.00854,-129.50134,174.36308,-244.76059,-80.15806,-101.175674,-52.59712,467.56964
1069.6632,-285.71854,-1023.9302,-24.073269,605.0159,-31.062538,-70.67344,-56.295494,-100.15852,632.7448
658.61523,-114.90592,-156.93665,-32.86723,-56.539085,-51.537704,-85.82819,-122.794106,-46.91816,-438.7729
1050.9683,-669.0774,-163.28423,-89.811005,169.85878,-77.65863,-25.710798,-12.541199,-34.485207,-414.50394
1267.013,-277.76694,-158.97437,78.03964,913.8043,-81.62996,-174.66899,-16.404423,-44.68498,-360.4024
739.1105,-231.46619,-142.80186,-109.08897,-335.05133,152.76913,0.3984375,-47.60827,-98.3668,-221.2279
1047.703,-146.34825,-232.77316,-144.06674,-73.68019,-45.65776,-25.992315,-23.611973,-139.26273,-427.61725
517.789,-911.3883,-393.01993,-29.400795,-473.47736,396.50113,-24.574043,-400.91574,-21.97554,-249.27744
1349.2513,-141.43654,197.14317,-88.72946,963.05396,112.59776,-105.62441,-238.1041,2.969778,-560.74023
1216.9006,-727.16046,-117.133255,-68.55233,466.9229,-27.231499,-299.3601,-130.90651,-85.02748,-4.344818
699.5083,-1500.7908,-209.63423,-203.3681,255.53291,55.07155,-48.42962,-102.52512,-302.4818,-613.21265
66.37297,-1328.5444,59.028637,-84.66482,42.421486,230.64635,-118.04022,-84.684006,-129.08945,-38.76806
1169.5323,-961.65,384.18906,-56.42905,543.32385,452.97644,-110.13678,-95.13343,-88.08564,-23.702057
1092.0121,-1841.6333,-39.44245,-39.155224,851.26697,-13.568924,-85.98567,129.28925,-77.51173,142.90396
14.302521,-306.83347,289.16016,7.4156914,399.33362,-73.67721,-118.863,-184.23572,-148.2952,-82.892
1097.9174,-227.72708,150.78345,148.74307,818.12494,319.01312,-126.819016,-118.94411,-136.56625,-76.43451
711.3778,-161.14651,241.45273,-6.602964,146.22841,92.02385,-216.80873,-163.51035,-234.63087,284.32483
1214.3828,-200.15598,-69.04707,-4.273794,591.1478,149.7593,-185.3541,-24.05793,-273.03946,-41.336357
559.62976,-206.30807,-148.46916,-70.60545,409.45892,305.93466,-133.02327,-42.665627,-124.176765,25.678925
1258.5181,-205.60648,161.56961,-46.01866,690.0564,310.415,-67.91807,-642.31934,-250.03156,587.8837
986.0329,-216.49248,126.18224,39.611008,418.52676,237.36914,-85.53706,-32.636963,-516.6717,280.12122
605.0312,-321.43213,503.5824,-97.63736,488.7074,262.5032,-105.866,-562.7522,-241.70865,1017.17957
1421.7363,-360.28253,477.3454,4.503931,244.55142,576.5222,-49.13545,-90.238434,-533.6029,907.5392
880.3151,-261.97272,462.12274,26.108484,558.77185,72.15983,-292.26166,-174.42111,-64.539505,317.29993
1209.4496,-221.31766,327.92148,-1.9749904,359.24567,-4.456896,-136.72313,-468.9211,-239.8523,658.2163
639.4071,-650.7197,154.4454,-64.64892,443.05548,-52.194073,-141.76329,-36.668846,-185.60857,154.4448
59.47882,-275.5892,437.523,8.334589,329.64478,-42.61989,-188.25673,-282.1884,-290.41275,648.13696
521.9453,-317.8582,800.8041,-26.532188,895.1269,-46.13849,-143.37189,-105.28717,-308.86774,841.6312
239.16913,-175.77838,88.904816,2.6863518,892.7086,-160.62317,-54.24012,-214.76364,-221.23132,191.55634
556.26196,-293.94794,571.8782,21.809383,-295.00833,-145.80405,-98.24101,-64.710686,-220.72849,151.86809
-70.35377,-438.29694,-60.35118,-120.6608,590.2589,-93.95071,-134.53174,-18.245369,-155.02968,-168.12584
1136.5442,-104.102,140.25443,-38.907227,265.89294,-33.666893,-461.53253,1.6147099,-125.75186,284.09253
573.85657,-176.98117,1145.3989,-60.292946,422.35413,69.776436,-482.83777,-50.54933,38.221825,232.05487
17.115051,-113.435005,571.28284,-3.5567207,1391.8815,-13.938286,-670.2157,-31.98312,-71.93815,1166.2107
582.65125,-123.553955,885.3729,-11.996458,863.59875,294.35358,-271.45322,-54.92881,-159.2471,815.30206
421.48526,-140.18814,672.2334,33.314854,1276.4089,-191.10388,-682.5218,-80.17854,-13.772423,900.5068
236.60127,-122.3952,1154.4146,905.17236,-232.36125,-159.18503,-293.04395,23.59946,143.9256,1145.0603
292.43768,-354.43677,-22.949429,519.44775,415.61835,-156.37376,-551.48627,363.9873,-259.8427,654.3955
173.14915,-159.9737,1186.8076,736.4617,-36.337708,-186.77322,-329.83154,365.20828,-135.12697,293.7237
578.0177,-264.49765,357.09204,720.7859,849.8877,306.9685,-466.10388,778.8728,-112.64232,729.2555
781.85596,-193.21121,-93.38963,1120.2644,1014.05835,137.8526,-230.10382,599.75287,1.7529335,564.3331
801.5393,-94.64309,531.10913,1534.2722,-56.193497,262.96704,-202.66702,12.625864,-129.07477,278.61966
285.18518,-149.22243,255.1644,761.7831,142.98256,454.9449,-285.4721,401.40582,-106.88172,287.0442
255.34798,-80.35049,152.36836,580.3506,-165.90512,515.2858,-127.55276,521.5402,-87.97391,961.748
-112.651726,-219.6235,159.99551,908.2765,1266.6989,84.99924,-74.230965,673.42,-135.37021,276.20532
