Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-3908.3354,-3986.1533,-2973.0166,-3309.2607,-2137.6719,-4159.2246,-3838.6973,-3629.0107,-3257.751,-3680.5737
-2860.3643,-2028.7192,-1905.9012,-2055.423,-1984.124,-2197.0535,-2119.4946,-2405.518,-2203.4954,-1159.271
-1440.6404,-1618.7703,-1092.2758,-1358.9171,-904.17615,-1622.5095,-1140.3052,-1889.6016,-807.735,-1101.0092
-314.08163,-286.40796,-284.735,-474.15442,-221.10489,-951.3807,-602.4602,-604.7662,-451.90765,-712.70123
-383.55774,-42.22866,-494.83813,-73.2177,-100.312416,-64.3292,-222.23715,-205.9481,-336.9978,-965.0158
-104.564255,-328.10306,-86.129974,-104.70995,-143.438,-338.3308,-95.81485,-435.69696,-98.6911,-219.3027
-106.45293,-746.28564,-184.70757,-220.08461,-166.66649,-204.30052,-216.84384,-158.88582,-112.68375,-264.65244
-133.87462,-233.47064,-596.1847,-202.49088,-654.34674,-86.746414,12.23748,-468.08942,-177.76437,-550.3164
-308.0498,-458.0339,42.89566,-77.38232,-171.55629,-48.3817,-48.94175,-354.148,-265.0952,-155.04669
-160.8753,-150.15564,491.26544,-180.01872,-36.12634,-190.42767,-5.3210335,-189.0057,3.5071354,-399.69855
-117.612976,330.18457,390.81168,7.072157,3.1866016,-112.34668,-132.83736,-155.01746,-97.202614,-183.62874
-22.25393,611.68854,313.33902,-52.952118,-40.50291,-50.88317,-142.92142,-117.81181,43.113033,-69.51579
186.14502,35.745872,417.1654,-96.56516,-31.38702,-66.51546,-134.9116,-156.81967,-236.1132,-40.332115
487.45068,915.94507,218.858,-10.095413,-30.371782,-311.7358,-78.91463,-144.70903,26.377731,-55.69402
565.379,792.5703,513.1815,-303.16495,-108.18915,-261.5249,-103.3717,-72.42778,-16.485497,11.10194
278.26944,721.2822,271.8381,-146.46555,-168.94104,-396.20975,-62.049446,-91.95915,11.020624,423.94623
34.716408,625.15295,180.30978,-46.558193,262.25623,-136.9413,-26.264778,-187.0057,-48.38283,-202.30042
653.751,-38.733963,-37.18074,-4.1308384,-312.10257,-135.69482,-83.037254,-382.92703,-135.04437,-110.18523
426.58286,274.74957,-13.445879,-128.56516,-618.04785,-120.41084,-4.921976,-185.85986,0.7975193,-109.18405
483.99887,458.16168,-305.21622,-126.84053,10.302221,64.67706,-95.92859,-220.80615,-74.91628,268.06604
600.14124,672.52606,-15.19326,-149.45966,-540.7178,-121.42011,-4.336425,-279.6252,-1.6531942,277.3871
248.70894,451.55112,122.10241,-143.54697,-83.04544,327.75488,-44.072495,-722.574,-11.284536,328.93192
559.2586,632.4004,-147.00333,-274.78424,-55.250412,-111.234726,-283.69885,-272.1091,-18.917229,-2.200386
831.8012,477.26416,97.607475,-134.82803,65.699066,-54.801544,-153.4074,-139.23555,8.008791,252.45247
746.3782,639.7185,559.7311,-187.92758,-6.645958,273.52426,-177.03777,-355.9533,-132.41943,788.2862
-17.096764,324.7613,-77.27075,-122.66263,36.359444,127.504776,-36.665974,-233.70715,28.170635,48.660255
486.69675,341.6109,-23.948174,-15.112067,10.749075,-5.673622,-312.87048,-108.430374,43.04778,303.98648
-43.046318,809.9913,-124.44815,-32.82489,-127.774414,-29.093662,-118.62923,-44.99765,187.83578,670.215
336.1309,406.4312,-413.53778,133.35616,-75.823875,-45.79014,-180.90622,-61.06517,61.838036,344.68466
457.83838,976.2179,-29.348265,-102.011894,613.4219,78.19207,-1027.6823,-88.42157,123.18763,816.39014
387.37253,537.0682,-18.943121,87.0141,98.672066,-159.89224,-1979.8081,-139.22255,96.856155,690.33826
205.88235,592.2704,38.080322,305.04498,-72.76922,-66.93959,119.60138,-76.617645,-42.14296,443.3989
460.2717,721.3169,44.37874,487.22614,102.829346,-67.365364,-43.27123,-531.4864,595.647,14.132751
97.76103,1100.0616,-201.15779,610.96216,21.61547,61.68949,-46.10208,-170.36084,-17.310343,-107.141556
609.7088,144.7355,246.81226,15.451309,331.73438,-24.833237,-79.976364,-59.809456,27.93688,155.03943
515.73596,-81.05848,269.65814,-93.02225,366.6971,-108.37855,-73.97188,-187.30301,536.3557,701.8189
694.0845,-113.044136,0.90717983,465.16846,227.22647,-75.25952,-36.23423,-404.44623,306.66907,945.1073
197.3928,444.62494,-5.847967,160.88681,267.0717,-17.141857,-56.685127,421.44183,656.4331,529.578
671.7688,974.1311,-2.3715725,289.73834,262.3465,143.2539,-17.578392,-289.8311,338.235,243.07
498.21497,219.65102,155.63896,178.29265,978.4635,168.34726,-53.124527,-159.43571,374.78238,480.2126
817.9044,778.78156,195.38745,-29.204937,597.50006,17.353344,145.90427,-181.98288,455.1897,115.11726
714.83923,978.7055,1.7133446,627.7289,767.3334,657.9294,-39.162674,-4.665985,474.51794,166.62155
96.12416,717.2756,137.081,-48.464962,249.5503,212.94977,-110.34886,6.586227,482.90613,1095.1792
77.97389,1403.1628,8.508646,210.18472,59.57775,1068.6877,15.762611,304.22424,343.82584,1062.5154
370.5929,1181.4362,138.21448,269.7374,615.7819,480.27142,258.61978,-149.8121,226.30539,492.2851
127.35089,1138.8322,401.6009,234.88686,880.475,1008.1604,1.4641304,2.7266884,342.11835,223.6812
208.81496,337.3781,736.1473,669.50415,1276.0411,549.17126,187.68881,-58.612343,659.83154,517.9072
601.83264,898.67993,750.6077,334.86734,5.6779327,301.53482,-394.18134,240.67752,38.695942,628.43494
1081.2389,614.2344,1061.0629,309.05896,550.00037,479.96375,-93.33235,-66.88562,250.3267,898.29126
197.68617,1125.8691,1088.2039,248.17784,910.8469,586.1049,-42.669662,-16.604198,984.93353,673.253
1062.8698,1086.4192,838.24316,91.8024,839.5123,25.019768,112.56398,141.5407,383.55106,1073.7301
-209.02882,796.14417,1281.8208,248.62254,990.9916,931.72614,170.77727,349.4568,825.7113,1344.904
512.21216,865.4182,820.66644,306.20752,990.7913,914.07965,12.967388,401.55963,714.9353,964.647
783.54285,426.5689,841.87616,247.04875,694.6642,266.72388,799.36206,285.09253,590.93835,842.7514
-250.24898,1071.6528,428.65887,210.68088,1028.0798,206.8663,490.08917,1314.7001,65.871956,867.30817
583.06714,582.9732,88.63826,360.3989,815.42786,658.18256,367.59598,510.86084,64.22953,929.63184
-153.25372,893.8125,491.79962,213.38199,402.4223,955.84875,868.5402,62.876846,887.7706,985.8241
141.97284,69.85864,70.86847,493.3297,844.8935,535.8866,-53.123726,630.98517,786.9287,1156.7623
275.9926,360.44238,179.17435,711.9746,1203.5024,992.5118,297.27884,-18.340332,275.03436,912.7788
173.1018,424.64938,316.57858,-170.67957,633.42377,623.00385,413.65005,629.2262,561.45197,341.67984
642.11053,352.37326,606.9021,459.97012,1224.533,225.24265,212.3949,157.53137,714.4032,1311.8357
94.65624,242.19498,388.7973,313.2741,958.7009,111.21039,1012.4939,69.49083,945.089,840.7805
438.1853,592.7055,294.84937,426.17526,1067.2706,163.77576,831.52637,633.6183,572.33093,1307.7284
329.19,680.6403,157.6749,-201.64178,1101.2407,875.9619,693.5259,44.566338,1114.4006,552.479
580.87225,396.23062,1065.47,112.488014,792.545,1016.9517,686.36743,361.36945,715.8574,526.1622
707.82837,441.0872,267.92715,214.32866,747.3573,475.92972,730.4752,13.510811,675.51154,532.4025
668.4656,844.3484,935.2023,53.528366,287.06787,185.9693,282.96613,-255.68301,1150.72,900.9131
691.36273,1357.5642,249.778,-228.34525,771.411,320.96494,1185.3357,394.84775,242.42804,765.99896
996.195,1032.523,516.58325,466.29678,1067.0747,474.41507,822.9351,645.23315,1058.4834,1053.4535
1000.0835,606.0081,591.4368,766.3821,797.0824,-938.09064,1298.029,28.544067,358.13724,604.61646
549.1935,1314.6848,293.34616,738.27576,256.39148,869.5353,669.2451,480.16333,907.4429,735.4407
465.23758,266.58856,166.32857,458.02676,738.23267,346.099,553.78064,655.16077,988.5349,428.4756
295.59592,924.6305,641.4803,-376.4574,560.016,942.31067,1208.8784,167.57196,359.03925,1035.8689
741.9302,604.96246,1268.4598,-455.4297,9.128288,1070.8594,1279.6279,166.66434,204.18353,933.5985
1037.7834,678.5057,289.4477,267.0293,1035.2186,1334.5603,1117.3484,484.08908,599.1942,664.9188
858.1024,1020.3775,419.71973,1090.7566,609.90674,886.7527,773.11523,399.15594,426.37622,1405.2784
925.78357,680.53406,323.00885,637.0633,470.24127,925.9363,1036.8689,131.70479,378.3827,924.6069
1031.3688,844.9857,547.1848,873.6548,1393.1704,318.48077,1064.6444,686.75104,907.256,923.787
