Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-1384.3674,-1274.6829,-1495.3486,-792.998,-1901.6687,-1457.8066,-1635.7289,-1422.8872,-170.53871,-1496.795
-1171.4325,-1177.5784,-1155.7045,-787.8622,-800.58307,-1055.9037,-945.839,-1300.3359,-275.32602,-235.14824
-964.41736,-1312.9131,-950.3015,-330.9713,-83.32148,-745.3269,-453.2122,-1316.8356,91.70729,-391.92035
-486.71844,-765.98236,-349.7417,-23.61728,-344.09076,-499.10394,-458.6855,-1022.97797,46.17732,-237.36765
-263.75983,-209.60211,-345.97604,65.3309,-524.5971,-219.77675,-389.7965,-794.2208,-367.37262,-610.17487
-5.8488464,-487.5712,-38.15834,329.04092,-175.14275,-476.84625,-146.32912,-52.61184,-182.96906,-93.9723
-143.81413,-346.17584,-40.746475,296.94348,-135.0002,-374.8877,-176.5743,52.829224,-63.923843,-124.73569
-602.6697,-81.74095,-119.87689,236.5087,-417.00705,-502.36084,87.08464,-106.87279,-56.763023,-6.7247105
-1195.521,-685.0401,-20.046171,219.81639,-311.84595,-499.47458,-152.67462,-254.27866,-35.983788,-18.351887
-970.0346,-692.4433,-334.5934,99.16049,-325.76025,-490.58466,-265.8318,-267.32812,-106.84103,-618.9513
-778.20483,-486.36084,-350.78094,-499.33142,-306.33887,-371.08276,-195.20743,-332.59094,-258.1683,-221.07718
-701.83405,-555.1531,81.60575,-233.34866,-189.43176,-514.04565,6.925186,-470.88617,-368.08264,-374.13318
-864.8882,-599.8511,-31.691616,213.1326,-97.499535,-741.3065,-97.74672,-550.73944,-619.95184,-244.99187
-774.46387,-426.21085,-132.69348,-68.536255,-288.23584,-812.1787,79.761,-245.7442,26.212173,-2.5210457
-844.3048,-282.80084,-46.670418,42.71493,-17.095531,-579.7058,23.828503,-543.0226,-60.755398,24.171211
-876.43274,-424.35284,-8.580009,90.753845,69.779625,-833.9663,-164.68323,-397.40082,-99.40722,254.38658
-699.5482,-159.75018,-58.936462,86.4948,-74.136894,-474.32983,112.35298,-616.4507,252.12419,12.060791
-248.91019,-560.49146,-147.9165,225.12149,313.7057,-842.9287,181.07832,-275.18344,-1.2056427,468.9629
-79.35411,-424.71606,-151.22278,395.30627,-83.68311,-375.01926,-628.57263,-210.30695,-170.15642,247.49814
-187.76741,-186.88696,-16.044628,168.65906,-290.9887,-613.36224,-292.35107,-443.10187,393.42792,-231.30014
-82.96259,-782.8188,-99.37907,251.94531,-472.5062,-443.9155,-370.65405,-58.72966,-108.05217,112.25691
-194.51392,-453.65442,192.67542,619.3395,-27.21679,-418.8775,-473.0549,-90.418594,216.1885,114.78636
-16.396269,-235.4098,34.80987,263.14075,-221.17888,-220.49225,-549.3857,-104.122086,17.274097,118.683945
-50.807014,31.620268,-158.98209,451.39624,-228.63406,-686.3175,-414.90286,-202.65749,158.84879,-317.20947
-76.42616,-23.176075,-86.92666,616.61084,9.387283,-477.0171,-339.13855,-37.358402,424.8757,-225.41693
-45.053856,1.1888199,-116.24794,247.614,-224.93292,-279.9334,-475.62405,-72.16286,335.73218,-24.278465
-109.52295,-159.63495,-28.087345,472.32993,-31.711945,-33.1202,-159.38928,67.86515,210.10818,-141.87564
25.316916,-172.81569,10.169811,612.13574,16.013485,-218.81406,208.69772,26.988428,413.70673,-10.070564
0.9125757,-22.89456,-70.885315,373.57556,-27.037613,-119.76506,-104.050064,-89.10093,319.4621,-163.01099
