Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-2006.8652,-2458.0474,-1982.5747,-2356.5376,-1831.9144,-1815.8295,-2232.8054,-2622.1926,-2480.2617,-1901.4066
-1540.1024,-1720.3833,-1654.0731,-1441.8892,-1402.114,-1455.9142,-939.1447,-1382.4915,-1329.0508,-1354.029
-929.418,-1670.2405,-517.8395,-663.5484,-253.94286,-815.70087,-816.9409,-999.838,-820.72955,-951.2715
-1020.7687,-679.34357,-467.3608,-539.27325,-572.0527,-283.0725,-670.68677,-476.87128,-227.38495,-130.38943
61.767307,-293.89175,-63.79883,-5.5622325,-225.8249,-169.2456,-64.685905,-212.87427,-455.83258,-113.738075
-246.6409,-73.555504,-101.77637,-109.801834,-491.4104,-581.92566,-9.6210785,-178.69583,-132.81429,-151.49158
-173.67337,-590.8886,37.52379,-205.77628,-483.331,-516.6924,-12.92292,-83.10066,-342.099,-1.7433262
-162.31305,-132.64581,-37.227814,-405.26794,-167.7151,-660.7749,172.19405,-119.523186,-82.9412,-413.98862
-697.5619,-106.978806,-28.563095,-400.72864,-35.68718,-674.44855,403.34738,-37.119045,-267.9491,-233.59378
-193.20024,-322.90256,-300.4201,-373.6777,-364.79822,-512.4324,-273.8304,-160.05513,-493.65262,-39.76043
-50.128334,-315.06772,-11.413756,-210.2465,-92.081726,-634.3623,-154.4691,-111.588066,-120.20831,-133.1693
-150.02591,-85.139496,-65.97134,-195.62994,-71.64755,-312.34256,26.416237,-59.260925,-147.70978,-204.60785
-15.478806,-263.07974,-59.49794,-157.95319,-91.63324,-355.54044,-221.06836,-95.69234,-557.2139,18.402805
6.946534,-304.1847,-149.8891,-179.24115,-97.27629,-190.85695,-46.253693,-146.37741,-43.48068,-270.83896
-51.604485,-210.07065,103.40446,-182.90936,-240.60428,-714.7449,-77.81919,-114.82805,-244.67374,-171.67438
-68.58963,-253.21948,-80.11489,-186.2893,-48.645622,-167.03404,-22.086592,-100.12961,5.332878,-285.954
-56.274082,-81.1849,-51.65403,24.0542,-117.36295,-292.49368,-61.711235,-78.98419,-95.176186,-72.47245
-51.438637,-141.90594,-239.14691,-429.02707,-16.244886,-191.18509,-108.67551,-181.24489,-164.49863,-109.68771
-60.155502,-53.606216,-63.63631,-249.82549,-88.2922,-212.67148,-78.589485,-69.456985,14.42683,-137.86081
-6.7019463,-281.24323,-146.06755,-23.224136,0.9807091,-90.43318,-33.43191,-64.47639,-96.28586,-94.46637
-83.14559,-157.9341,-106.000824,-15.466919,-113.66167,-55.059006,-32.081917,-174.76688,-34.8106,-261.07214
-73.65412,-273.0531,-59.49839,16.992422,3.5450156,-16.823738,-81.90319,-100.706406,-93.85086,-336.6718
-18.158052,-96.39572,-5.474428,24.290321,-37.391815,-77.7169,-67.59983,-35.791306,-199.7876,-58.285877
-50.001225,-109.597755,-44.38388,49.45246,-175.08882,-188.63188,-153.86273,-66.19351,-81.77155,-515.93677
-14.066757,-171.1851,-109.63419,-379.1531,84.36974,-191.52126,-29.874954,-129.98816,-14.642357,-392.0702
-26.375921,-203.88889,-162.65012,270.7415,-13.691011,43.326744,-38.814407,-36.275715,-41.150745,-378.46597
-91.53823,1.0196323,-759.1634,253.95132,104.86835,-146.46931,-78.21285,-154.5671,-103.23279,-272.69745
-81.40664,-134.244,-172.8283,177.65518,-6.5186195,20.110172,181.58774,-77.07571,-43.556477,-473.09326
-11.935767,-94.459015,-303.9487,19.975677,-44.967804,-67.33131,-58.360023,-42.112118,-94.98546,-427.87482
-87.58898,-32.071568,-119.15333,75.379295,42.7798,-40.912663,-65.99034,-151.48975,-62.50686,-63.80495
-156.12271,-48.22296,-37.109905,77.55629,49.778114,-27.176167,-8.717632,-102.067276,-36.13231,-231.65845
-58.826225,-57.66232,-77.96399,159.83029,42.25723,7.3944073,-17.444294,-55.997917,-36.049103,-58.175514
-15.051289,-71.63249,-5.1803036,147.75865,81.95483,-66.006134,-100.80165,-9.305391,-24.755852,-50.584816
-78.140884,-84.84871,-6.8323536,180.15192,-75.68746,-37.380497,-55.707664,-79.82284,-21.573563,-69.51599
-112.090416,-69.60727,-32.867664,17.198437,-4.6998544,71.97292,11.640042,-55.968197,-93.629425,-77.280014
-37.8424,-60.809147,-15.909298,111.36038,-11.742096,-18.827911,-170.85797,-68.929855,-96.3788,-106.70047
-29.592003,-22.173111,-34.34744,131.06909,-63.327747,-26.015293,-63.43135,-13.504219,-35.265972,-86.60127
-92.78917,-168.98627,-55.090755,51.014503,44.9602,-57.48828,241.73344,-65.11322,-8.245157,-85.71997
-115.09947,-26.090338,-33.559902,146.13344,-26.277962,279.3538,-30.234295,-88.65349,-18.89544,-31.594547
38.178185,17.061466,-21.383202,239.07312,-40.709167,-92.21445,-59.967186,-57.99305,-102.042175,-19.928686
-16.678047,-8.833751,5.9322786,101.97063,23.923183,11.094581,-26.158953,-47.76701,-8.071209,-15.01837
-168.04837,-75.93836,-17.430538,69.14097,12.195896,-37.452187,-77.46146,-49.758255,-120.587944,-2.666191
-76.04992,6.4550753,-44.21332,322.19647,48.76,-81.50727,143.6947,-59.13188,10.05217,-50.793114
-75.07186,-56.625824,-31.831076,259.7422,42.48429,262.34116,-19.777826,-69.383965,-43.928528,-54.640152
-108.381386,-45.379704,-17.193344,135.15974,-53.32505,-10.035339,195.30951,-116.83476,-101.34586,16.128075
-32.137413,-79.24301,38.140793,178.89764,34.65924,-48.94361,-86.65431,-21.931126,-20.72488,-56.12628
-43.62453,7.40693,-34.511574,96.316986,51.92592,-51.877007,-58.976933,-47.068283,-76.87705,64.49784
-37.206314,9.933161,-30.4404,357.628,-38.17259,-18.741135,-3.8702335,-70.38192,-19.475214,-22.293037
-49.316113,-37.58255,-36.054134,241.05441,-5.3893166,-1.0133057,11.240488,-66.94758,-18.209892,50.323532
14.619875,-63.217537,-58.667946,211.05695,48.1934,-18.93057,-17.003265,-68.8637,-42.005856,11.107107
-8.095048,-49.940434,-75.231834,445.47113,-26.10043,7.137933,22.032719,-34.784172,-21.479652,456.3994
-59.318966,-31.641365,-9.797916,454.51926,-59.422363,-36.96257,118.61018,1.953373,5.626463,178.75613
-39.794933,-66.79283,-1.0172672,279.91025,-60.148132,-10.24399,147.748,-0.1015749,-7.126882,529.5213
-18.017132,-64.821976,-38.486603,200.79349,-54.93358,-4.243447,188.23862,-126.47746,-7.8071327,151.37335
-19.562529,-24.118874,-12.395928,471.0351,33.79249,-10.622218,62.459545,-32.196564,-59.627274,578.7742
-38.346756,1.4711905,-47.43995,396.81992,66.91442,13.303419,148.53711,-8.505778,-6.4765224,762.9895
-114.83004,-26.919239,11.974682,223.78802,116.64819,1.7512045,195.86258,-54.450306,-12.261977,680.67346
-13.521027,-47.64303,15.8410635,304.58932,92.62389,13.74738,243.49754,-14.302158,-82.29489,112.92442
-31.34867,-39.88291,-63.22413,472.84207,93.64433,-27.247305,-11.255562,-69.13406,-12.187206,281.31863
-120.047966,-33.481472,-74.23045,200.37198,215.65149,-5.192293,114.366776,-72.434814,-20.014168,117.539505
-55.411575,-52.80957,-49.56083,297.2871,77.60869,-23.84511,70.10904,-28.63847,-77.86691,382.00537
-8.440859,-349.72253,-13.871004,392.0645,-135.47678,9.30941,24.072876,-77.07399,-32.67505,16.543299
35.91952,15.726271,20.117472,211.28531,-75.43496,10.63834,-18.874928,-61.747597,-56.691597,-63.200928
57.693108,-310.61148,65.16315,221.29092,-45.292328,179.83112,433.78094,-84.2211,70.24416,-10.98676
-28.462086,60.68953,373.68933,254.50641,-31.381355,-36.750996,367.64478,-133.84833,-83.20701,-11.404499
-46.392124,-71.23495,-36.570843,459.3357,-34.575882,-6.178951,364.6443,-127.68561,-73.91976,-17.289593
-102.17578,-14.381098,-37.82008,511.11847,16.746326,213.04376,216.03003,-44.359573,12.666337,-74.177185
-40.834854,-42.224625,44.139767,318.00378,508.25995,308.9181,671.1117,-95.90112,-57.35035,-38.16258
145.97398,-106.97539,121.72714,666.41614,-69.976555,60.22963,250.11165,-132.94003,-48.914173,310.29428
-26.066275,-30.850533,-110.58835,279.61646,-59.535793,-43.58442,194.69919,-70.29276,46.66754,85.194626
130.56918,-49.359863,-17.656954,68.61269,18.669859,50.62526,294.08478,-32.64029,-58.709194,-10.843077
63.763016,-95.10925,-95.3371,151.51396,-59.687138,-159.41757,338.31702,-46.48364,14.967067,-64.15453
-20.095453,-5.133174,-56.86445,495.25858,257.4071,-113.277,477.2013,-56.82897,-11.406431,-57.88275
-58.34523,0.75239563,124.33028,272.07248,68.98051,576.8116,473.03583,-56.22627,23.570461,-113.91527
5.6874037,-117.12593,39.35711,198.38986,130.18707,114.64073,236.94089,-54.772625,23.389717,-100.3642
16.63109,9.90116,40.31139,717.9092,52.04429,252.14319,274.58575,-37.687077,-30.936954,116.54614
-69.27535,-90.1693,-42.95459,643.2883,474.26053,-142.63422,407.3476,-58.107697,452.783,105.632225
