mean,upper,lower
-500.0,-496.65,-500.0
-500.0,-496.65,-500.0
-500.0,-488.7,-500.0
-500.0,-483.8,-500.0
-500.0,-474.0,-500.0
-500.0,-474.0,-500.0
-495.1,-458.85,-498.325
-477.9,-435.7,-494.65
-469.7,-421.15,-491.65
-469.7,-421.15,-491.65
-458.8,-406.4,-491.65
-446.6,-384.6,-491.65
-420.35,-361.6,-473.9
-417.3,-340.0,-473.9
-394.6,-323.05,-464.225
-393.35,-307.8,-464.225
-376.35,-295.75,-445.875
-379.65,-289.85,-449.55
-358.2,-275.1,-426.5
-350.25,-252.75,-426.5
-334.95,-239.45,-402.15
-341.8,-233.8,-402.15
-344.1,-236.4,-399.525
-335.65,-237.95,-399.525
-329.0,-233.0,-382.75
-318.2,-228.25,-382.75
-309.75,-221.9,-375.2
-323.65,-247.15,-375.2
-319.6,-244.1,-370.9
-327.55,-249.2,-370.9
-323.2,-244.2,-365.65
-327.5,-246.75,-365.65
-318.6,-238.1,-355.075
-301.6,-229.7,-328.475
-301.4,-229.45,-326.1
-291.65,-211.25,-325.875
-290.35,-211.05,-322.825
-275.3,-182.45,-322.825
-276.15,-183.2,-325.475
-276.15,-190.65,-325.475
-272.7,-187.9,-326.775
-258.1,-181.9,-326.775
-255.3,-180.0,-325.65
-283.8,-202.6,-352.25
-281.1,-199.45,-350.925
-290.2,-206.75,-351.15
-288.05,-204.55,-351.8
-292.9,-203.65,-351.8
-295.3,-203.15,-353.675
-281.15,-188.4,-353.675
-286.1,-193.75,-358.825
-283.4,-198.5,-358.825
-284.2,-200.6,-358.5
-274.25,-189.25,-358.5
-274.55,-190.45,-358.325
-281.9,-197.45,-358.325
-279.45,-195.9,-362.725
-273.5,-198.1,-359.65
-269.1,-196.0,-354.8
-283.25,-207.7,-354.8
-277.45,-201.85,-346.7
-295.8,-213.0,-346.7
-301.3,-217.65,-352.225
-311.25,-221.45,-352.225
-309.1,-219.95,-352.45
-290.25,-213.6,-330.7
-291.15,-213.65,-324.325
-275.55,-211.15,-314.425
-278.1,-212.1,-315.375
-256.25,-199.4,-306.525
-257.95,-200.2,-306.225
-233.2,-183.6,-289.6
-231.8,-177.75,-287.7
-206.8,-162.2,-272.275
-207.85,-162.85,-269.625
-200.25,-158.65,-263.95
-200.1,-157.15,-261.725
-197.6,-153.35,-245.075
-195.0,-152.7,-245.15
-187.65,-144.7,-251.9
-187.1,-145.4,-251.8
-182.5,-142.05,-247.325
-178.5,-142.75,-242.125
-176.35,-140.45,-240.225
-174.8,-139.8,-242.175
-174.9,-138.0,-249.625
-175.95,-139.9,-255.875
-187.1,-143.8,-273.875
-185.0,-141.45,-269.75
-190.55,-146.05,-257.225
-190.95,-142.6,-257.65
-192.6,-140.3,-278.75
-191.0,-138.85,-280.2
-196.0,-140.15,-293.325
-201.3,-143.0,-297.65
-203.75,-143.25,-301.1
-204.55,-143.35,-298.2
-227.65,-172.35,-309.825
-231.1,-174.85,-312.45
-247.9,-178.75,-326.4
-249.9,-183.2,-328.175
-251.3,-188.0,-325.625
-253.15,-188.65,-326.15
-254.65,-191.95,-326.525
-250.25,-189.2,-319.975
-251.75,-192.15,-313.1
-253.3,-195.15,-312.95
-227.55,-167.25,-298.6
-228.1,-167.1,-298.7
-197.95,-152.45,-273.05
-194.8,-149.7,-273.8
-195.4,-146.85,-276.35
-196.0,-149.05,-276.525
-197.7,-145.35,-270.725
-196.05,-143.7,-270.05
-190.0,-139.5,-282.05
-187.0,-135.95,-278.95
-191.6,-137.5,-290.0
-191.45,-139.2,-289.125
-197.65,-144.25,-311.775
-196.45,-144.65,-308.0
-200.95,-153.0,-296.575
-199.4,-151.65,-295.4
-183.05,-150.3,-277.825
-181.45,-148.8,-278.55
-179.05,-148.45,-257.15
-181.95,-149.15,-261.25
-176.9,-143.7,-246.475
-177.85,-140.3,-251.1
-181.4,-139.7,-231.3
-184.4,-140.95,-234.2
-181.85,-138.4,-228.8
-183.5,-141.4,-228.525
-196.45,-144.95,-255.725
-197.6,-145.75,-253.325
-204.65,-149.45,-266.025
-199.2,-147.95,-259.525
-203.35,-156.35,-262.1
-200.5,-157.2,-255.275
-204.85,-155.55,-269.975
-201.2,-153.25,-263.7
-194.9,-151.5,-264.3
-194.3,-149.1,-266.325
-200.9,-159.7,-264.45
-203.1,-161.95,-266.875
-209.55,-159.9,-273.925
-211.55,-160.1,-277.45
-209.25,-156.7,-285.975
-208.15,-156.4,-289.175
-203.85,-163.15,-277.675
-206.4,-165.45,-280.85
-208.75,-160.95,-297.075
-212.05,-163.05,-298.325
-194.7,-147.7,-277.925
-191.75,-145.25,-277.4
-187.2,-146.45,-286.1
-184.55,-144.9,-283.575
-179.85,-143.75,-280.2
-182.35,-145.55,-278.05
-183.35,-141.85,-281.275
-184.8,-143.3,-282.875
-200.75,-157.05,-282.875
-197.35,-155.3,-281.975
-207.5,-158.1,-294.25
-210.6,-160.0,-298.375
-207.05,-161.65,-279.0
-210.35,-163.55,-283.375
-209.9,-159.95,-277.9
-207.6,-158.65,-278.825
-200.3,-153.85,-265.675
-202.1,-151.7,-271.5
-185.5,-142.1,-246.525
-185.5,-143.0,-246.05
-178.85,-139.2,-244.725
-177.25,-139.3,-241.75
-186.1,-140.9,-252.275
-185.75,-142.0,-250.275
-181.25,-141.15,-242.875
-184.9,-140.25,-247.675
-193.7,-145.85,-262.5
-192.45,-146.5,-258.0
-201.8,-145.8,-275.75
-200.85,-143.65,-279.45
-208.75,-150.35,-270.425
-212.05,-150.7,-273.425
-206.65,-147.6,-264.425
-206.9,-147.3,-265.25
-213.4,-149.9,-275.075
-212.0,-151.2,-272.4
-209.0,-148.7,-282.475
-209.1,-149.7,-283.675
-192.8,-145.15,-259.575
-193.05,-146.5,-257.1
-189.85,-142.75,-262.6
-186.4,-139.45,-260.65
-178.0,-137.75,-249.15
-178.0,-137.55,-249.375
-174.85,-135.75,-241.35
-171.1,-134.25,-235.175
-166.55,-131.7,-214.375
-162.35,-129.0,-207.975
-172.05,-128.75,-237.575
-170.7,-126.9,-233.175
-162.25,-126.6,-235.35
-165.55,-130.25,-236.6
-171.15,-131.15,-247.325
-169.4,-131.25,-244.9
-167.9,-130.2,-238.7
-171.95,-132.2,-247.825
-168.1,-130.9,-255.3
-167.1,-130.35,-257.775
-159.1,-129.25,-234.425
-157.45,-128.2,-242.375
-159.0,-125.95,-244.375
-154.85,-122.3,-246.825
-151.15,-121.2,-263.275
-152.5,-121.35,-267.0
-156.15,-124.55,-273.35
-160.4,-127.15,-272.825
-167.45,-127.65,-283.525
-169.15,-128.0,-283.2
-173.3,-129.5,-281.75
-175.45,-130.45,-275.85
-175.05,-133.2,-261.6
-177.85,-134.75,-259.35
-200.15,-135.95,-255.425
