Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-1201.2216,-911.5729,-1625.4479,-1185.9197,-1437.2667,-1159.3241,-1204.7374,-1361.8699,-1323.2347,-1174.103
-1408.0873,-1448.4424,-1432.5192,-1171.6229,-1642.0991,-1742.8396,-1360.1648,-1364.6567,-1192.5121,-1258.6133
-1308.0651,-1673.3112,-1057.2424,-1804.249,-1323.4789,-1299.4344,-1380.3258,-1307.8672,-1605.5325,-1486.0925
-1054.1616,-1857.9907,-1159.9553,-1824.474,-1497.4816,-1605.4585,-1317.7361,-1361.9475,-1708.0063,-1344.1294
-1645.9187,-1611.951,-1664.4138,-1615.3855,-1135.1296,-1709.2634,-1671.2366,-1145.9005,-1748.1658,-1331.7659
-1813.5863,-1445.0139,-1405.1184,-1543.0277,-1577.7098,-1449.5645,-1744.7576,-1353.2871,-1759.5415,-1758.0933
-1622.5117,-1426.1373,-1487.7045,-1532.4032,-1691.853,-1719.2697,-1544.3676,-1295.0603,-1675.9784,-1387.9862
-1382.7797,-1440.8049,-1340.0002,-1535.048,-1632.3046,-1745.772,-1336.5762,-1752.9224,-1683.3157,-1247.1918
-1324.9148,-1398.2151,-1363.6431,-1349.7158,-1386.3788,-1533.9028,-1205.5419,-1656.5043,-1530.4069,-1645.1718
-1244.2056,-1370.6367,-1421.7198,-1344.8425,-1299.0848,-1469.6882,-1222.3452,-1719.3219,-1628.5953,-1438.9509
-1318.1913,-1434.7177,-1368.1609,-1497.4741,-1420.5281,-1416.0789,-1253.6787,-1222.2051,-1432.9545,-1478.0499
-1249.3489,-1457.4789,-1491.0149,-1479.1079,-1073.7894,-1183.8816,-1275.477,-1253.1414,-1846.8811,-1166.9758
-1264.082,-1072.0181,-1294.1322,-1179.2872,-1132.725,-1042.6036,-1086.7869,-1000.1722,-1217.4755,-1381.9448
-1049.1298,-1007.42084,-1137.3761,-1313.213,-1378.1532,-1487.4064,-1089.0403,-1110.6848,-1431.4823,-1037.7361
-991.91046,-1157.3079,-1318.6404,-1187.4176,-1099.7224,-1345.3107,-989.9693,-1028.5359,-1266.1626,-1217.4069
-1155.201,-1421.7986,-1164.8246,-1628.6178,-1683.8019,-1144.8375,-976.03326,-1119.9092,-1352.3453,-739.44226
-1035.2314,-1286.1548,-1091.079,-1292.9183,-1273.0142,-1107.2567,-1185.4974,-827.33704,-1100.5133,-1248.0591
-975.90497,-1192.7394,-774.67267,-1024.7913,-1204.5378,-872.8903,-1226.9305,-773.70447,-1160.8376,-886.45996
-1019.74835,-1274.2181,-1708.2609,-955.60443,-1201.1483,-769.9936,-1209.7954,-1371.8158,-1347.4838,-1215.0698
-930.48627,-1016.20435,-1179.923,-1003.4956,-1363.2446,-1134.3746,-916.44635,-894.8113,-1200.596,-914.44617
-884.2213,-1007.9492,-1092.2356,-992.454,-760.4723,-1045.6492,-948.87164,-1208.3136,-1244.8245,-917.40894
