Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-1542.0872,-1082.1708,-1445.1763,-1245.9972,-1051.443,-1168.9158,-1504.8228,-1579.4442,-1176.6846,-944.1765
-1629.0503,-1189.6893,-1150.4226,-1192.6525,-1531.4232,-969.02875,-1576.8854,-1195.9108,-1065.0421,-968.0763
-1813.5604,-1223.7465,-1265.1357,-1209.9613,-1429.1254,-1549.2405,-1547.6498,-1287.1079,-1181.0348,-1437.0746
-1476.6714,-1248.7913,-1610.9265,-1848.4292,-1524.8558,-1195.0284,-1720.8573,-1125.6122,-1153.0667,-1725.0421
-1803.8531,-1632.0416,-1478.3885,-1606.6611,-1609.8259,-1457.6215,-1474.7605,-1713.1598,-1478.4788,-1630.2913
-1641.4921,-1086.1663,-1496.503,-1625.961,-1198.6969,-1560.3335,-1552.716,-1798.2662,-1390.9141,-1456.6273
-1528.1581,-1307.4237,-1378.6635,-1535.0154,-962.13635,-1580.3644,-1432.3499,-1823.3611,-1683.0278,-1684.2977
-1284.4678,-1168.8503,-1435.235,-1369.3479,-1409.5284,-1197.01,-1354.5691,-1254.8125,-992.82214,-1333.672
-1627.634,-1188.0486,-1385.0087,-1115.161,-862.8294,-1160.086,-1335.7327,-1236.414,-985.41974,-1584.9136
-1298.6971,-1250.6959,-1268.9915,-1163.3234,-1137.7478,-1260.645,-1299.7172,-1658.3668,-1701.1499,-1631.4825
-1012.07635,-1077.2255,-1321.6997,-1129.5543,-1423.5558,-1313.3429,-1264.7836,-1523.8715,-985.4054,-1311.5542
-989.78326,-1358.3026,-1302.205,-896.8584,-1203.0698,-988.0121,-1216.2964,-1516.4677,-862.4515,-1687.8115
-1075.8956,-1170.0157,-1257.7426,-1049.5485,-1006.6389,-1250.3373,-1279.9357,-1395.6804,-987.6325,-1001.9677
-1149.2921,-1046.4775,-1147.7467,-1138.5786,-864.804,-1122.688,-1039.4219,-1027.0199,-1117.4257,-1262.836
-1265.146,-1273.5947,-1178.593,-1002.03046,-504.86624,-1008.821,-942.2232,-1442.8042,-1039.7744,-1095.7688
-1703.609,-871.2634,-1173.153,-760.71564,-1661.3921,-909.3866,-703.4985,-930.7166,-877.93335,-1285.5249
-1399.2655,-629.4776,-914.46893,-886.3752,-1188.6161,-926.63885,-1249.769,-1180.3962,-752.4768,-1266.3723
-1248.9977,-1161.0948,-956.6018,-857.2757,-380.2858,-1457.8479,-1343.6819,-516.4443,-754.4728,-1120.6462
-1254.3002,-882.282,-1041.0005,-1175.6924,-941.4268,-870.8262,-981.89685,-398.52725,-899.26465,-994.9335
