Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-1551.2946,-1185.0657,-1069.7166,-1079.1464,-1494.6847,-1725.8584,-1337.1373,-1355.662,-1140.3918,-1414.5096
-1606.7535,-1074.7125,-1272.6426,-1077.1416,-1167.231,-1365.6742,-1151.5912,-1316.7059,-1275.9622,-1075.5607
-1540.5385,-1253.883,-1210.9689,-1807.6061,-1220.7295,-1209.7987,-1606.4159,-1316.9067,-1497.453,-1281.9294
-1887.7625,-1343.045,-1218.9847,-1113.4907,-1263.0731,-1371.5774,-1340.4065,-1472.8636,-985.70215,-1334.285
-1297.8258,-1597.0281,-1372.0604,-1301.8362,-1758.4199,-1470.0024,-1549.8845,-1294.5414,-1476.2156,-1179.8038
-932.8264,-1522.3243,-1739.916,-1490.914,-1669.942,-1486.0414,-1681.642,-1272.1394,-1634.3383,-1605.0692
-1569.8967,-1280.0759,-1538.7124,-1141.6027,-1363.8861,-1290.7351,-1376.574,-1362.6212,-1345.5183,-1460.0896
-1583.2357,-1472.5288,-1528.1199,-1369.0641,-1196.2844,-1390.682,-1260.0251,-1178.6659,-1280.3846,-1281.1318
-1450.875,-1415.981,-1200.7947,-1043.2196,-1408.137,-1437.1329,-1118.159,-1355.2223,-1702.9108,-1427.5995
-1356.874,-1421.4271,-1405.6183,-889.3794,-1159.8843,-1144.6357,-1023.33203,-1061.4698,-1634.1843,-1555.3777
-1174.1383,-1187.8817,-1115.8766,-1092.8617,-1215.3717,-1358.9044,-1275.8936,-1097.5492,-1248.8606,-1099.1672
-982.46387,-868.9008,-1061.5209,-1439.6466,-1311.5203,-1307.1296,-1037.9874,-1484.2347,-1252.5585,-1391.5714
-1024.0078,-1066.6685,-1210.7332,-1630.2643,-1361.3607,-1336.1107,-1129.8013,-1270.4003,-1224.2545,-1114.815
-1145.6152,-985.928,-1174.8026,-1078.2052,-1209.181,-1253.5029,-1182.0121,-1402.3732,-1003.02386,-961.5841
-1274.6753,-822.7437,-1138.7224,-1089.9371,-1126.046,-1023.3631,-979.38934,-1170.7665,-1112.6637,-1091.1947
-1040.1409,-785.42224,-1099.8988,-1413.0092,-1275.0808,-793.08307,-1281.5875,-1457.3583,-1001.1835,-1031.8441
-998.5667,-557.39,-859.1995,-776.41724,-725.6029,-1157.0929,-1049.8835,-1220.8151,-1254.1847,-1015.0637
-926.3912,-890.8361,-830.19403,-1654.8999,-1244.2225,-879.40356,-902.86707,-868.119,-977.9189,-756.7702
-1234.7262,-900.8727,-735.1806,-980.44525,-808.67804,-809.4796,-1260.3201,-1057.7943,-1601.2334,-756.65155
-1003.3934,-856.602,-973.6182,-1289.9894,-921.0211,-768.3974,-1116.7311,-1084.763,-1146.8685,-988.8174
-973.005,-1707.5355,-785.7597,-1255.5262,-1063.5775,-953.29785,-1179.057,-716.01904,-1019.678,-1034.4612
-1712.9121,-530.94434,-977.0872,-1244.4357,-1043.9514,-884.9783,-1016.36957,-831.209,-1052.4827,-1043.6996
-1150.8228,-1019.5465,-917.43536,-779.9643,-1044.2205,-1206.7819,-609.46216,-997.8848,-1151.4147,-1125.5552
-881.73987,-916.70886,-890.4645,-549.11096,-807.0534,-1211.3964,-752.9915,-1191.3927,-1097.0354,-1058.0256
-852.1781,-888.4883,-914.7873,-752.06793,-1029.2637,-964.0598,-668.6517,-1034.878,-1200.0996,-882.0999
-1209.9762,-872.97656,-673.296,-977.4633,-1016.8568,-1197.8792,-1004.91473,-1049.0083,-1053.2065,-1100.2036
-1115.4038,-636.7297,-730.8035,-1288.4146,-905.95984,-1082.49,-1036.2947,-1042.0399,-1342.485,-1124.7754
